timestamp,thermistor,pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,people_number,confidence
18_14_07.274925,30.625,26.5,25.5,25.75,26.5,26.25,25.5,25.75,27,25.75,26.25,26.5,25.75,26.25,25.75,26.5,25.75,26,26.25,26.25,26.25,26.25,26.75,26.5,26.75,26.5,26,26.25,26.25,26.5,26.5,26.25,26,26.75,27,26.75,26,25.75,26.25,26.75,26,26.25,26.25,25.75,26.25,26.25,26.25,26.5,26.75,25.25,26.5,26.5,26.25,26,26.75,25.75,26.5,25.25,26.25,26.75,26,26,26.5,25.5,25.5,0,e
18_14_07.404919,30.625,26.25,26,26,26,26.25,26,26,26.75,26,25.5,26.5,26,26,26.5,26.5,26.5,26.5,26.25,26.25,26,25.75,26.25,26.5,26.5,26.25,26,26.5,26.5,26.75,26.25,26.25,26.75,26.25,26.25,26.25,26,26.25,26,26,25.5,27,26,25.75,26.75,26.25,26,26.75,26.75,26.25,25.75,26.25,26.25,26.25,26.5,26,25.75,25.5,26,26.25,25.75,25.75,26.75,25.75,26,0,e
18_14_07.501261,30.625,26,26.5,26,26.5,26.25,26.25,26.25,25.5,26,26,26.5,25.75,25.75,26.25,26.25,26.25,26,26,26.5,26.25,25.75,26.75,26.75,26.5,26.25,26,26,26.25,26.75,26.5,26.25,26.5,26,26.25,26.5,26.5,26.25,26,26.75,25.75,26.5,26.5,25.5,25.5,25.75,26,27,26.25,25.5,26,26.25,25.75,26.25,27,26.25,26.25,25.75,26.25,26.25,26.5,25.75,26.5,26.75,26,0,e
18_14_07.591458,30.625,26.25,26.75,25.75,26.5,26.25,26.25,25.75,26,26,26.5,26.75,26,26.25,26,26.25,26.5,25.75,25.5,26.25,26.25,26.25,26.5,26.25,27,25.75,25.75,25.75,26,26.75,26.75,25.75,26.5,26,26.75,26.25,26,25.75,25.75,26.5,25.25,26.25,26.25,26.25,26,26.25,25.5,26.75,26.75,26,26.25,26.25,26.25,26,26.5,26.25,25.25,25.25,25.25,26.5,26,26.25,26.25,25.75,26,0,e
18_14_07.680910,30.625,26.25,26.75,25.75,26.5,26.25,26.25,25.75,26,26,26.5,26.75,25.75,26,26.5,25.75,25.75,26,25.75,26,26.5,26,26.5,26.25,26.25,25.5,26,26,25.75,26.25,25.75,26,26,26,26,26.5,25.75,26,25.5,26.75,25.75,26.25,26,26,26,26.75,25.5,26.75,25.5,25,25.5,26.25,25.5,25.75,26.25,26.25,25,24.5,26.25,26,25.75,26,26.25,25.25,25.25,0,e
18_14_07.781123,30.5625,26,25.5,25.5,26.25,26.25,25.5,25.75,26.25,25.25,25.25,26.25,25.75,26,26.5,26,25.5,26,26,26.25,26.25,25.5,26.5,26,26,25.75,25.75,26.25,26,26.5,26.5,26.25,26,26.5,27,26.5,26.25,26.25,26,26.5,26.25,26.5,26.5,25.75,26.75,25.75,26,26.5,27.25,25.5,25.5,26.5,26,25.5,26,25.25,25.25,25.5,26.25,27,25.5,26,26.5,25.75,26.75,0,e
18_14_07.881345,30.625,25.75,25.75,25.5,26.5,25.75,26.25,26.25,26.25,25.5,25.5,26.25,26,26.25,26.5,26,25.5,26,26.25,27,26.5,26,26.25,26.5,27.25,25.75,26,26.25,26.25,26.5,26.5,26.25,26,26.5,26,26.5,26.5,26,26,26.5,25.5,26.5,26,26.5,26.5,26,25.75,27,26.25,25.75,26.5,26,26.25,26,26.5,25.75,25.25,25.75,26.5,26.75,26,26,26.75,25.75,25.5,0,e
18_14_07.981578,30.625,25.75,26,25.5,26,26.5,26.5,26.25,26.25,26,25.75,26.5,25.75,26,26.25,26.25,26,26.25,26.25,27,26.5,26,26.5,26.75,26.5,26,26,26.5,25.75,26,26.5,25.75,26.5,25.75,26.25,26.5,26.25,26.25,26,26.5,25.5,26.25,26.75,26,26.5,26.75,26,26.5,27,25.5,26.25,26.5,26.5,25.5,25.75,26.5,26.25,25.75,26,25.75,25.75,25.25,26.75,25.25,25,0,e
18_14_08.081811,30.625,26,26,25.75,26.25,25.75,26,27,26.25,25.5,25.75,26.5,25.75,26,26.5,26,25.5,26,25.75,26.5,26,26.25,26.5,26.75,26.5,25.75,25.75,26.25,25.25,26.25,25.75,25.5,26.25,26.25,26.5,26.5,25.75,25.75,26,26.25,26.25,26.25,26.25,25.75,26,26.5,25.75,26.5,26.5,25.25,26,26,26,26,26.5,25.25,26.5,26,26,26,26,25.5,26,26,25,0,e
18_14_08.182048,30.625,25.25,26.25,25.25,26,26.5,26.25,26.5,25.75,25.5,26.25,26,26,25.75,26.5,26,26.75,26.25,26,25.75,26.25,26.25,26.5,26.75,26.5,25.75,25.75,26.25,25.5,26,26.25,25.25,25.5,25.75,26,26.5,26.5,25.5,25.5,25.75,25.5,25.75,26.25,25.75,26.5,26.25,25.75,26.75,26.5,26,25.75,26,25.75,25.75,25.75,25.25,25.75,25.25,26,27,26,25.75,26.5,25.5,26,0,e
